code	offical_name	offical_summary_category	suggested_categorization	average_minutes	avg_minutes_per_participant	participation_rate
t040204	Waiting associated with nonhh children's education	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0	8.4	0
t040299	Activities related to nonhh child's educ., n.e.c.*	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0	64.68	0
t040301	Providing medical care to nonhh children	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.01	58.67	0
t040302	Obtaining medical care for nonhh children	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.02	68.31	0
t040303	Waiting associated with nonhh children's health	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.02	60.79	0
t040399	Activities related to nonhh child's health, n.e.c.*	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.02	190.94	0
t040401	Physical care for nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.28	69.92	0
t040402	Looking after nonhh adult (as a primary activity)	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.06	66.81	0
t040403	Providing medical care to nonhh adult	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.05	37.14	0
t040404	Obtaining medical and care services for nonhh adult	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.12	85.28	0
t040405	Waiting associated with caring for nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.15	105.32	0
t040499	Caring for nonhh adults, n.e.c.*	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.14	132.18	0
t040501	Housework, cooking, & shopping assistance for nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.6	74.87	0.01
t040502	House & lawn maintenance & repair assistance for nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	1.04	150.96	0.01
t040503	Animal & pet care assistance for nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.12	44.73	0
t040504	Vehicle & appliance maintenance/repair assistance for nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.36	96.38	0
t040505	Financial management assistance for nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.07	64.2	0
t040506	Household management & paperwork assistance for nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.46	76.17	0.01
t040507	Picking up/dropping off nonhh adult	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.44	9.35	0.05
t040508	Waiting associated with helping nonhh adults	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.25	27.57	0.01
t040599	Helping nonhh adults, n.e.c.*	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.35	109.72	0
t049999	Caring for & helping nonhh members, n.e.c.*	Caring For & Helping Nonhousehold (NonHH) Members	Caring For Nonhousehold Members	0.02	101.82	0
t050101	Work, main job	Work & Work Related Activities	Work	190.84	450.39	0.42
t050102	Work, other job(s)	Work & Work Related Activities	Work	4.9	221.61	0.02
t050103	Security procedures related to work	Work & Work Related Activities	Work	0.01	13.97	0
t050189	NA	Work & Work Related Activities	Work	0.21	25.34	0.01
t050201	Socializing, relaxing, and leisure as part of job	Work & Work Related Activities	Work	0.09	147.24	0
t050202	Eating and drinking as part of job	Work & Work Related Activities	Work	0.22	62.91	0
t050203	Sports and exercise as part of job	Work & Work Related Activities	Work	0.02	132.92	0
t050204	Security procedures as part of job	Work & Work Related Activities	Work	0	14.47	0
t050289	NA	Work & Work Related Activities	Work	0.03	42.09	0
t050301	Income-generating hobbies, crafts, and food	Work & Work Related Activities	Work	0.18	145.71	0
t050302	Income-generating performances	Work & Work Related Activities	Work	0.03	155.76	0
t050303	Income-generating services	Work & Work Related Activities	Work	0.63	151.93	0
t050304	Income-generating rental property activities	Work & Work Related Activities	Work	0.09	159.76	0
t050389	NA	Work & Work Related Activities	Work	0.71	149.03	0
t050403	Job interviewing	Work & Work Related Activities	Work	0.13	78.29	0
t050404	Waiting associated with job search or interview	Work & Work Related Activities	Work	0.03	54.08	0
t050405	Security procedures rel. to job search/interviewing	Work & Work Related Activities	Work	0	8.92	0
t050481	NA	Work & Work Related Activities	Work	1.74	137	0.01
t050499	Job search and Interviewing, n.e.c.*	Work & Work Related Activities	Work	0.03	111.68	0
t059999	Work and work-related activities, n.e.c.*	Work & Work Related Activities	Work	0.01	61.75	0
t060101	Taking class for degree, certification, or licensure	Education	Education	14.97	314.16	0.05
t060102	Taking class for personal interest	Education	Education	0.79	128.79	0.01
t060103	Waiting associated with taking classes	Education	Education	0.07	23.14	0
t060104	Security procedures rel. to taking classes	Education	Education	0	6.25	0
t060199	Taking class, n.e.c.*	Education	Education	0.17	178.11	0
t060201	Extracurricular club activities	Education	Education	0.06	98.57	0
